baseline_page,slide_instance_id,slide_code,section,title,business_question,decision_supported,source_view,has_material_data,current_problem,proposed_disposition,target_slide_or_archetype,coverage_preserved,rationale,evidence
11,p2_serasa,P2,partner,Segmentos - Serasa,Qual segmento é motor ou gargalo?,Priorizar segmento,VP_SERASA_SEGMENTS,parcial,VP_SERASA_SEGMENTS tem 1 única linha de segmento: a tabela repete o total do parceiro já mostrado em P1,merge,p1_serasa (scorecard),sim_via_merge,"Com 1 segmento, o agrupamento por Segmento reproduz exatamente o total de P1 (mesmas linhas de crmCurrent). Pergunta 'qual segmento é motor?' → resposta única vira linha de contexto em P1 ('100% em <segmento>'); decisão priorizar segmento → sem alternativa a priorizar; evidência → VP_SERASA_SEGMENTS citada em notas/rodapé de P1; limite → herdado de P1 (lead pré-qualificado). Proposta como REGRA (P2 só renderiza com ≥2 segmentos), não exceção de agosto",PDF candidata 2a p.11 ('1 linha observada'); report-live-engine.ts:1844-1851 agrupamento por Segmento
12,p3_serasa,P3,partner,Canais - Serasa,Canal certo por segmento?,Mix de canal,VP_SERASA_CHANNELS,sim,Bug de grão: contrato exige canal×segmento mas VP_*_CHANNELS agrupa só por canal (3 linhas); 'heatmap' saiu como barra; bloqueado_snapshot → Indisponível,preserve,p3_serasa (heatmap),sim,"Há dado material por canal (cartões, custo, CAC, share). Limite declarado; a correção do grão é do engine, não motivo para retirar",PDF candidata 2a p.12; contrato P3 required_fields inclui segment (migration 20260723170000); report-live-engine.ts:1852-1874
13,p4_serasa,P4,partner,Funil - Serasa,Onde vaza proposta→aprovado→cartão?,Atacar etapa do funil,VP_SERASA_FUNNEL,sim,Renderer 2.0 publicou barras em escala linear (base 562.890 × 912 cartões esmaga etapas finais); Serasa usa funil lead_pre_qualificado,preserve,p4_serasa (funnel),sim,Taxas por etapa com faixa já existem; é o slide de diagnóstico de etapa do parceiro,PDF candidata 2a p.13; Report-Live-Arquitetura-Editorial falha 3; report-live-engine.ts:1875-1883
14,p5_serasa,P5,partner,"Campanhas, jornadas e disparos — Serasa","Resultado veio de base, conteúdo ou oferta?",Repetir ou cortar campanha/jornada,VP_SERASA_CAMPAIGNS,sim,15 linhas; activity_name truncado ilegível; 12 células >22 caracteres; bloqueado_snapshot (abertura/clique/safra parciais),preserve,p5_serasa (analytical_table),sim,Único slide que liga resultado a campanha/jornada; top-8 declarado cabe no arquétipo. Excedente precisa de destino (ver lacunas),PDF candidata 2a p.14; inventario_slides.csv (12 células >22); report-live-engine.ts:1884-1911
15,p7_serasa,P7,partner,Ação prioritária do parceiro — Serasa,Próxima ação neste parceiro?,Executar ação local,VP_SERASA_ACTION,não,Aba só com cabeçalho; página inteira para 'Nenhuma ação candidata' (frase idêntica nos 5 P7),merge,c8 (action_queue),sim_via_merge,"P7 é projeção de C8 com filtro de parceiro (contrato P7 = VIEW_ACTION_QUEUE; 'alimenta C8'). Pergunta 'próxima ação em Serasa?' → linha de C8 com coluna partner=Serasa; decisão executar → bucket/owner/prazo da linha em C8; evidência → evidence_refs da candidata; limite → quando não há candidata, P1 de Serasa recebe uma linha 'sem ação candidata; manter curso'. Proposta como REGRA: P7 renderiza como slide só quando houver candidata do parceiro","PDF candidata 2a p.15; ESTUDO F6 (5 P7 com frase idêntica); report-live-engine.ts:1924-1929 (slice(0,1) de actionCandidates por parceiro)"
16,p1_proprietaria,P1,partner,Resultado & contribuição — Proprietária,Como o parceiro performou e contribuiu?,Priorizar parceiro,VP_PROPRIETARIA_RESULT,sim,Renderer 2.0 publicou tabela crua; régua (valor·delta·faixa·veredito) só existe na candidata 2a,preserve,p1_proprietaria (scorecard),sim,Capítulo cheio de Proprietária; cartões e CAC com faixa histórica de 6 meses,PDF candidata 2a p.16; report-live-engine.ts:1835 VP_*_RESULT
17,p2_proprietaria,P2,partner,Segmentos — Proprietária,Qual segmento é motor ou gargalo?,Priorizar segmento,VP_PROPRIETARIA_SEGMENTS,sim,Gráfico vinculado com rótulo de segmento >22 quebrado; view sem propostas/aprovados e sem período equivalente,preserve,p2_proprietaria (analytical_table),sim,4 segmentos com cartões/base/custo/CAC: há escolha real a fazer entre segmentos,PDF candidata 2a p.17 ('4 linhas'); inventario_slides.csv (rótulo quebrado); report-live-engine.ts:1844-1851
18,p3_proprietaria,P3,partner,Canais — Proprietária,Canal certo por segmento?,Mix de canal,VP_PROPRIETARIA_CHANNELS,sim,Bug de grão: contrato exige canal×segmento mas VP_*_CHANNELS agrupa só por canal (4 linhas); 'heatmap' saiu como barra; bloqueado_snapshot → Indisponível,preserve,p3_proprietaria (heatmap),sim,"Há dado material por canal (cartões, custo, CAC, share). Limite declarado; a correção do grão é do engine, não motivo para retirar",PDF candidata 2a p.18; contrato P3 required_fields inclui segment (migration 20260723170000); report-live-engine.ts:1852-1874
19,p4_proprietaria,P4,partner,Funil — Proprietária,Onde vaza proposta→aprovado→cartão?,Atacar etapa do funil,VP_PROPRIETARIA_FUNNEL,sim,Renderer 2.0 publicou barras em escala linear (base 562.890 × 912 cartões esmaga etapas finais),preserve,p4_proprietaria (funnel),sim,Taxas por etapa com faixa já existem; é o slide de diagnóstico de etapa do parceiro,PDF candidata 2a p.19; Report-Live-Arquitetura-Editorial falha 3; report-live-engine.ts:1875-1883
20,p5_proprietaria,P5,partner,"Campanhas, jornadas e disparos — Proprietária","Resultado veio de base, conteúdo ou oferta?",Repetir ou cortar campanha/jornada,VP_PROPRIETARIA_CAMPAIGNS,sim,57 linhas; activity_name truncado ilegível; 12 células >22 caracteres; bloqueado_snapshot (abertura/clique/safra parciais),preserve,p5_proprietaria (analytical_table),sim,Único slide que liga resultado a campanha/jornada; top-8 declarado cabe no arquétipo. Excedente precisa de destino (ver lacunas),PDF candidata 2a p.20; inventario_slides.csv (12 células >22); report-live-engine.ts:1884-1911
21,p7_proprietaria,P7,partner,Ação prioritária do parceiro — Proprietária,Próxima ação neste parceiro?,Executar ação local,VP_PROPRIETARIA_ACTION,não,Aba só com cabeçalho; página inteira para 'Nenhuma ação candidata' (frase idêntica nos 5 P7),merge,c8 (action_queue),sim_via_merge,"P7 é projeção de C8 com filtro de parceiro (contrato P7 = VIEW_ACTION_QUEUE; 'alimenta C8'). Pergunta 'próxima ação em Proprietária?' → linha de C8 com coluna partner=Proprietária; decisão executar → bucket/owner/prazo da linha em C8; evidência → evidence_refs da candidata; limite → quando não há candidata, P1 de Proprietária recebe uma linha 'sem ação candidata; manter curso'. Proposta como REGRA: P7 renderiza como slide só quando houver candidata do parceiro","PDF candidata 2a p.21; ESTUDO F6 (5 P7 com frase idêntica); report-live-engine.ts:1924-1929 (slice(0,1) de actionCandidates por parceiro)"
22,p1_plurix,P1,partner,Resultado & contribuição — Plurix,Como o parceiro performou e contribuiu?,Priorizar parceiro,VP_PLURIX_RESULT,sim,Renderer 2.0 publicou tabela crua; régua (valor·delta·faixa·veredito) só existe na candidata 2a,preserve,p1_plurix (scorecard),sim,Capítulo cheio de Plurix; cartões e CAC com faixa histórica de 6 meses,PDF candidata 2a p.22; report-live-engine.ts:1835 VP_*_RESULT
23,p2_plurix,P2,partner,Segmentos — Plurix,Qual segmento é motor ou gargalo?,Priorizar segmento,VP_PLURIX_SEGMENTS,sim,Gráfico vinculado com rótulo de segmento >22 quebrado; view sem propostas/aprovados e sem período equivalente,preserve,p2_plurix (analytical_table),sim,4 segmentos com cartões/base/custo/CAC: há escolha real a fazer entre segmentos,PDF candidata 2a p.23 ('4 linhas'); inventario_slides.csv (rótulo quebrado); report-live-engine.ts:1844-1851
24,p3_plurix,P3,partner,Canais — Plurix,Canal certo por segmento?,Mix de canal,VP_PLURIX_CHANNELS,sim,Bug de grão: contrato exige canal×segmento mas VP_*_CHANNELS agrupa só por canal (3 linhas); 'heatmap' saiu como barra; bloqueado_snapshot → Indisponível,preserve,p3_plurix (heatmap),sim,"Há dado material por canal (cartões, custo, CAC, share). Limite declarado; a correção do grão é do engine, não motivo para retirar",PDF candidata 2a p.24; contrato P3 required_fields inclui segment (migration 20260723170000); report-live-engine.ts:1852-1874
25,p4_plurix,P4,partner,Funil — Plurix,Onde vaza proposta→aprovado→cartão?,Atacar etapa do funil,VP_PLURIX_FUNNEL,sim,Renderer 2.0 publicou barras em escala linear (base 562.890 × 912 cartões esmaga etapas finais),preserve,p4_plurix (funnel),sim,Taxas por etapa com faixa já existem; é o slide de diagnóstico de etapa do parceiro,PDF candidata 2a p.25; Report-Live-Arquitetura-Editorial falha 3; report-live-engine.ts:1875-1883
26,p5_plurix,P5,partner,"Campanhas, jornadas e disparos — Plurix","Resultado veio de base, conteúdo ou oferta?",Repetir ou cortar campanha/jornada,VP_PLURIX_CAMPAIGNS,sim,32 linhas; activity_name truncado ilegível; 12 células >22 caracteres; bloqueado_snapshot (abertura/clique/safra parciais),preserve,p5_plurix (analytical_table),sim,Único slide que liga resultado a campanha/jornada; top-8 declarado cabe no arquétipo. Excedente precisa de destino (ver lacunas),PDF candidata 2a p.26; inventario_slides.csv (12 células >22); report-live-engine.ts:1884-1911
27,p7_plurix,P7,partner,Ação prioritária do parceiro — Plurix,Próxima ação neste parceiro?,Executar ação local,VP_PLURIX_ACTION,não,Aba só com cabeçalho; página inteira para 'Nenhuma ação candidata' (frase idêntica nos 5 P7),merge,c8 (action_queue),sim_via_merge,"P7 é projeção de C8 com filtro de parceiro (contrato P7 = VIEW_ACTION_QUEUE; 'alimenta C8'). Pergunta 'próxima ação em Plurix?' → linha de C8 com coluna partner=Plurix; decisão executar → bucket/owner/prazo da linha em C8; evidência → evidence_refs da candidata; limite → quando não há candidata, P1 de Plurix recebe uma linha 'sem ação candidata; manter curso'. Proposta como REGRA: P7 renderiza como slide só quando houver candidata do parceiro","PDF candidata 2a p.27; ESTUDO F6 (5 P7 com frase idêntica); report-live-engine.ts:1924-1929 (slice(0,1) de actionCandidates por parceiro)"
28,p1_bem_barato,P1,partner,Resultado & contribuição — Bem Barato,Como o parceiro performou e contribuiu?,Priorizar parceiro,VP_BEM_BARATO_RESULT,sim,Renderer 2.0 publicou tabela crua; régua (valor·delta·faixa·veredito) só existe na candidata 2a,preserve,p1_bem_barato (scorecard),sim,Capítulo cheio de Bem Barato; cartões e CAC com faixa histórica de 6 meses,PDF candidata 2a p.28; report-live-engine.ts:1835 VP_*_RESULT
29,p2_bem_barato,P2,partner,Segmentos — Bem Barato,Qual segmento é motor ou gargalo?,Priorizar segmento,VP_BEM_BARATO_SEGMENTS,sim,Gráfico vinculado com rótulo de segmento >22 quebrado; view sem propostas/aprovados e sem período equivalente,preserve,p2_bem_barato (analytical_table),sim,4 segmentos com cartões/base/custo/CAC: há escolha real a fazer entre segmentos,PDF candidata 2a p.29 ('4 linhas'); inventario_slides.csv (rótulo quebrado); report-live-engine.ts:1844-1851
30,p3_bem_barato,P3,partner,Canais — Bem Barato,Canal certo por segmento?,Mix de canal,VP_BEM_BARATO_CHANNELS,sim,Bug de grão: contrato exige canal×segmento mas VP_*_CHANNELS agrupa só por canal (3 linhas); 'heatmap' saiu como barra; bloqueado_snapshot → Indisponível,preserve,p3_bem_barato (heatmap),sim,"Há dado material por canal (cartões, custo, CAC, share). Limite declarado; a correção do grão é do engine, não motivo para retirar",PDF candidata 2a p.30; contrato P3 required_fields inclui segment (migration 20260723170000); report-live-engine.ts:1852-1874
31,p4_bem_barato,P4,partner,Funil — Bem Barato,Onde vaza proposta→aprovado→cartão?,Atacar etapa do funil,VP_BEM_BARATO_FUNNEL,sim,Renderer 2.0 publicou barras em escala linear (base 562.890 × 912 cartões esmaga etapas finais),preserve,p4_bem_barato (funnel),sim,Taxas por etapa com faixa já existem; é o slide de diagnóstico de etapa do parceiro,PDF candidata 2a p.31; Report-Live-Arquitetura-Editorial falha 3; report-live-engine.ts:1875-1883
32,p5_bem_barato,P5,partner,"Campanhas, jornadas e disparos — Bem Barato","Resultado veio de base, conteúdo ou oferta?",Repetir ou cortar campanha/jornada,VP_BEM_BARATO_CAMPAIGNS,sim,33 linhas; activity_name truncado ilegível; 12 células >22 caracteres; bloqueado_snapshot (abertura/clique/safra parciais),preserve,p5_bem_barato (analytical_table),sim,Único slide que liga resultado a campanha/jornada; top-8 declarado cabe no arquétipo. Excedente precisa de destino (ver lacunas),PDF candidata 2a p.32; inventario_slides.csv (12 células >22); report-live-engine.ts:1884-1911
33,p7_bem_barato,P7,partner,Ação prioritária do parceiro — Bem Barato,Próxima ação neste parceiro?,Executar ação local,VP_BEM_BARATO_ACTION,não,Aba só com cabeçalho; página inteira para 'Nenhuma ação candidata' (frase idêntica nos 5 P7),merge,c8 (action_queue),sim_via_merge,"P7 é projeção de C8 com filtro de parceiro (contrato P7 = VIEW_ACTION_QUEUE; 'alimenta C8'). Pergunta 'próxima ação em Bem Barato?' → linha de C8 com coluna partner=Bem Barato; decisão executar → bucket/owner/prazo da linha em C8; evidência → evidence_refs da candidata; limite → quando não há candidata, P1 de Bem Barato recebe uma linha 'sem ação candidata; manter curso'. Proposta como REGRA: P7 renderiza como slide só quando houver candidata do parceiro","PDF candidata 2a p.33; ESTUDO F6 (5 P7 com frase idêntica); report-live-engine.ts:1924-1929 (slice(0,1) de actionCandidates por parceiro)"
34,p1_dia,P1,partner,Resultado & contribuição — Dia,Como o parceiro performou e contribuiu?,Priorizar parceiro,VP_DIA_RESULT,sim,Amostra insuficiente para faixa de CAC (93 cartões); corte determinístico 22,preserve,p1_dia (scorecard),sim,Capítulo compacto; a régua já retém veredito por amostra,PDF candidata 2a p.34; report-live-engine.ts:872 mode compact
35,p4_dia,P4,partner,Funil - Dia,Onde vaza proposta→aprovado→cartão?,Atacar etapa do funil,VP_DIA_FUNNEL,sim,"Base 3,78 MM vs 93 cartões em escala linear",preserve,p4_dia (funnel),sim,Funil por taxas com faixa; compacto mantém P1/P4,PDF candidata 2a p.35
36,p7_dia,P7,partner,Ação prioritária do parceiro — Dia,Próxima ação neste parceiro?,Executar ação local,VP_DIA_ACTION,não,Aba só com cabeçalho; 'Nenhuma ação candidata',merge,c8 (action_queue),sim_via_merge,Mesma regra dos P7: linha em C8 com partner=Dia; sem candidata → linha de status em p1_dia,PDF candidata 2a p.36; report-live-engine.ts:1924-1929
37,m1,M1,media,Pacing por objetivo,Gasto no ritmo?,Ajustar budget por objetivo,VIEW_MEDIA_PACING,parcial,"Budget ausente em 5/5 objetivos → pacing não calculável; gráfico era agregado mensal, não série",preserve,m1 (time_series_pacing),sim,Gasto realizado por objetivo existe; MASTER prevê renderizar realizado sem pacing e declarar o limite,PDF candidata 2a p.37; inventario_slides.csv linha 37; report-live-engine.ts:1937-1962
38,m2,M2,media,Mix & dependência de plataformas,Onde o real rende / de quem dependemos?,Realocar entre plataformas,VIEW_MEDIA_MIX,sim,bloqueado_snapshot (frequência/evento nomeado); confiança Indisponível,preserve,m2 (router_ranking),sim,Spend por plataforma×objetivo observado (meta/conversion R$9.338 etc.); visão de dependência sem substituto,PDF candidata 2a p.38; report-live-engine.ts:1964-1984
39,m3,M3,media,Ranking canônico de campanhas,De que campanha dependemos?,Diversificar risco de campanha,VIEW_MEDIA_CAMPAIGNS,sim,10 de 11 campanhas com alias pendente; nomes >22 caracteres,preserve,m3 (router_ranking),sim,"Ranking de concentração de spend; alias pendente é limite declarado (CT-7), não motivo de corte",PDF candidata 2a p.39; report-live-engine.ts:1986-2030
40,m4,M4,media,Funil de eventos por campanha,Onde está a perda no funil de eventos?,Otimizar campanha,VIEW_MEDIA_FUNNEL,sim,bloqueado_snapshot; campanha truncada,preserve,m4 (funnel),sim,10 campanhas com impressões→cliques→installs→trials; único funil de eventos de mídia,PDF candidata 2a p.40; report-live-engine.ts:2032-2051
41,m5,M5,media,Criativos: fadiga & frequência,Trocar criativo?,Rotação de criativos,VIEW_MEDIA_CREATIVES,sim,67 linhas de criativo num slide; bloqueado_snapshot,preserve,m5 (analytical_table),sim,"Condicional à cobertura de ad_id, que existe (67 criativos). Top-8 + declaração de top N",PDF candidata 2a p.41; contrato M5 conditional=true; report-live-engine.ts:2053-2075
42,m6,M6,media,Tracking & qualidade,Quanto confiar na mídia?,Calibrar leitura de mídia,VIEW_MEDIA_QUALITY,sim,"named_event_coverage é global repetido em cada linha, não por canal",preserve,m6 (quality_gate),sim,Alimenta confiança de mídia; linha meta outcome_app_promotion com spend 0 e 76 linhas é sinal de qualidade real,PDF candidata 2a p.42; report-live-engine.ts:2077-2091
43,m7,M7,media,Ação de mídia,Próxima ação em mídia?,Executar ação de mídia,VIEW_ACTION_QUEUE,parcial,Mesma fonte e mesma preview de C8; a única candidata é domínio crm (template) exibida como 'Ação de mídia',merge,c8 (action_queue),sim_via_merge,"M7 lê VIEW_ACTION_QUEUE sem filtro de domínio — duplicava C8 e rotulava ação de CRM como mídia. Pergunta 'próxima ação em mídia?' → linhas de C8 com domain=media; decisão → bucket/owner da linha; evidência → evidence_refs (VIEW_MEDIA_QUALITY para sinais de mídia); limite → sem candidata de mídia, M6 recebe linha 'sem ação de mídia'. REGRA: M7 volta como slide só com candidata domain=media",PDF candidata 2a p.43 vs PDF candidata 2a p.9; inventario_slides.csv linha 43 ('mesma preview de C8'); contrato M7 source_view=VIEW_ACTION_QUEUE
44,b1,B1,b2c,Funis em paralelo,Como propostas e emissões se distribuem entre as leituras disponíveis?,Onde aprofundar origem,VIEW_B2C_PARALLEL_FUNNELS,parcial,B2C indisponível no período (linha explícita com nulos); só a trilha CRM tem dado,preserve,b1 (funnel),sim,Funis paralelos com ausência visível é exatamente o contrato (engine injeta linha 'B2C — indisponível'),PDF candidata 2a p.44; report-live-engine.ts:2093-2120
45,b2,B2,b2c,Tendência diária & origem,Como evoluíram propostas e emissões?,Timing de ação B2C,VIEW_B2C_DAILY,não,"Fonte b2c_daily_metrics congelada até 20/07; agosto vazio (falha de fonte, não zero)",retain_as_quality_status,b2 (quality_gate — status da fonte B2C),sim_como_status,"Falha de coleta, não ausência legítima: o slide permanece visível como status (última data observada, cutoff nulo, ação de recuperação) e volta a série quando a fonte for reabastecida",PDF candidata 2a p.45; ESTUDO A4/C2 (B2C até 2026-07-20); report-live-engine.ts:2122
46,b3,B3,b2c,Cobertura & limites de reconciliação,Onde a atribuição trava?,Não superinterpretar a reconciliação,VIEW_COVERAGE_COMPARABILITY,parcial,Mesma view e mesmas 3 linhas de C2 (VIEW_COVERAGE_COMPARABILITY); não há view própria de diferenças conceituais,merge,c2 (quality_gate),sim_via_merge,"B3 deveria detalhar C2 sem duplicar (MASTER), mas a fonte é idêntica. Pergunta 'onde a atribuição trava?' → coluna comparability_rule de C2 + limite; decisão não superinterpretar → narrativa limitation de C2; evidência → mesma view; limite → notas de C2 trazem as regras (CRM×B2C, Serasa à parte). Reabrir B3 quando existir view própria (definições, % cobertura por origem)",PDF candidata 2a p.46 vs PDF candidata 2a p.3; contratos C2 e B3 com source_view=VIEW_COVERAGE_COMPARABILITY
47,k-visa,K-VISA,conditional,Copa / LP / opt-in,Copa/LP/opt-in performou?,Campanha encerrada — nenhuma decisão futura,VIEW_VISA_OPTIN,sim,Campanha Copa Visa encerrada; gráfico físico órfão,retire_closed_scope,—,n/a_escopo_encerrado,Decisão de produto registrada: contrato desativado para novos runs; histórico preservado,migration 20260915003736_retire_report_live_visa_optin.sql; ESTUDO linha 13; render-package valida retired_scope
48,k-seg,K-SEG,conditional,Seguros,Como está Seguros (rentabilização)?,Acompanhar frente de Seguros,VIEW_INSURANCE_SUMMARY,sim,crm_clicks missing; cutoff de seguros (23/08) atrás do core,preserve,k-seg (analytical_table),sim,"Condicional com ocorrência (49 disparos, base 1,5 MM, spend R$3.116); única frente de rentabilização em escopo",PDF candidata 2a p.48; report-live-engine.ts:2166-2175
49,k-tpl,K-TPL,conditional,Templates e slots,Quanto do CRM tem template/slot mapeado?,Priorizar backlog de mapeamento,VIEW_TEMPLATE_COVERAGE,sim,"Sinal repetido (julho 23,1% → agosto 7,5%) sem outcome; mesmo sinal também ocupa C8",preserve,k-tpl (analytical_table),sim,MASTER: baixa cobertura é o conteúdo do slide. Vault propõe mover a backlog após dois ciclos sem outcome — decisão pendente do PO,PDF candidata 2a p.49; MASTER K-TPL; Report-Live-Arquitetura-Editorial 'Critério de permanência'; contrato K-TPL conditional=false
50,k-qlt,K-QLT,conditional,Incidentes de qualidade,Houve incidente de coleta no período?,Recuperar coleta / rebaixar confiança,VIEW_QUALITY_INCIDENTS,sim,"8 incidentes, alguns de julho (view não filtra pelo período)",preserve,k-qlt (quality_gate),sim,Condicional com ocorrência (coletas Meta failed em 24–25/08),PDF candidata 2a p.50; report-live-engine.ts:2176-2181 (sem filtro de período)
51,a1,A1,annex,Matriz frente × parceiro × segmento,Qual o detalhe frente×parceiro×segmento?,Drill de C5/P*,VIEW_GROWTH_MATRIX,sim,Heatmap renderizado como barra,preserve,a1 (heatmap),sim,Fonte de drill do C5/P* (MASTER §3: não descartar),PDF candidata 2a p.51; MASTER §3 slide 32
52,a2,A2,annex,Dicionário de métricas,Como cada métrica é definida?,Auditabilidade,VIEW_METRIC_DICTIONARY,sim,Preview truncado em 22 caracteres,preserve,a2 (technical_annex),sim,Anexo de auditabilidade (Definições de métrica); vault: anexo técnico nunca foi o problema,PDF candidata 2a p.52
53,a3,A3,annex,Regras de agregação,Como se agrega?,Auditabilidade,VIEW_AGGREGATION_RULES,sim,Preview truncado em 22 caracteres,preserve,a3 (technical_annex),sim,Anexo de auditabilidade (Regras CT-2/3/4/7); vault: anexo técnico nunca foi o problema,PDF candidata 2a p.53
54,a4,A4,annex,Matriz de cobertura de campos,Todo campo útil tem consumidor ou exclusão?,Auditabilidade de cobertura,VIEW_FIELD_COVERAGE,sim,Preview truncado em 22 caracteres,preserve,a4 (technical_annex),sim,"Anexo de auditabilidade (250 campos: 73 consumidos, 1 excluído, 176 sem consumidor); vault: anexo técnico nunca foi o problema",PDF candidata 2a p.54
55,a5,A5,annex,Logs de coleta,O que as coletas registraram?,Auditabilidade,VIEW_COLLECTION_LOGS,sim,Overflow não verificável,preserve,a5 (technical_annex),sim,Anexo de auditabilidade (111 logs de coleta); vault: anexo técnico nunca foi o problema,PDF candidata 2a p.55
56,a6,A6,annex,Mapeamentos e aliases,Como campanhas são mapeadas/aliasadas?,Auditabilidade de identidade de campanha,VIEW_CAMPAIGN_ALIASES,sim,Preview truncado em 22 caracteres,preserve,a6 (technical_annex),sim,"Anexo de auditabilidade (34 aliases, pending_review); vault: anexo técnico nunca foi o problema",PDF candidata 2a p.56
57,a7,A7,annex,Critérios de confiança,Como a confiança é atribuída?,Auditabilidade,VIEW_CONFIDENCE_RULES,sim,Preview truncado em 22 caracteres,preserve,a7 (technical_annex),sim,Anexo de auditabilidade (Critérios de confiança); vault: anexo técnico nunca foi o problema,PDF candidata 2a p.57
