Data;Consultas Neurotech;Aprovados Neurotech;Pedidos Confirmados;Env. da Foto Biometria;Env. Documento;Assinatura do Cartão;Total Emitidos
27/04/2026;3.690;1.627;266;1;14;13;155
28/04/2026;4.560;2.131;255;;13;17;139
29/04/2026;4.576;2.087;315;;11;16;201
30/04/2026;4.231;1.894;254;;15;11;164
01/05/2026;2.749;1.231;230;1;13;8;134
02/05/2026;2.931;1.252;225;;15;16;137
03/05/2026;2.132;912;206;1;12;10;118
04/05/2026;3.516;1.580;229;1;14;10;138
05/05/2026;4.549;2.136;247;;11;14;132
06/05/2026;3.923;1.766;276;3;20;15;177
07/05/2026;3.385;1.548;195;1;15;4;113
08/05/2026;2.917;1.324;180;2;16;9;103
09/05/2026;2.773;1.189;167;1;13;9;101
10/05/2026;2.281;998;144;2;10;9;79
11/05/2026;3.678;1.571;187;1;13;4;102
12/05/2026;3.912;1.795;188;1;9;8;114
13/05/2026;7.205;3.662;337;1;14;14;237
14/05/2026;7.965;4.091;415;;18;23;263
15/05/2026;6.488;3.629;418;3;24;16;254
16/05/2026;4.928;2.761;358;;20;8;230
17/05/2026;3.922;2.131;338;;20;13;211
18/05/2026;6.891;3.865;418;1;26;22;251
19/05/2026;6.254;3.560;429;3;25;12;266
20/05/2026;7.443;4.178;443;1;34;22;240
21/05/2026;5.160;2.942;360;3;23;10;212
22/05/2026;4.047;2.259;241;;13;9;153
23/05/2026;3.566;1.863;259;2;13;13;178
24/05/2026;3.551;1.767;225;;16;13;128
25/05/2026;4.478;2.257;200;1;8;6;112
26/05/2026;5.455;2.897;319;3;15;11;195
27/05/2026;4.231;2.247;267;1;8;14;158
28/05/2026;4.535;2.371;241;1;14;11;156
29/05/2026;3.792;1.922;221;;23;19;100
30/05/2026;3.114;1.609;204;;16;10;111
31/05/2026;2.657;1.377;171;1;9;7;93
01/06/2026;3.650;1.950;188;1;14;4;101
02/06/2026;2.292;1.116;183;;14;10;100
03/06/2026;5.417;2.885;226;1;14;13;116
04/06/2026;3.722;1.859;217;;21;9;119
05/06/2026;3.558;1.838;217;;9;17;121
06/06/2026;3.090;2.018;174;2;12;7;106
07/06/2026;2.545;1.234;173;1;18;10;102
08/06/2026;3.320;1.676;208;2;8;15;117
09/06/2026;9.648;4.112;493;1;32;34;300
10/06/2026;9.792;3.982;505;2;26;20;300
11/06/2026;9.440;4.083;494;;30;25;318
12/06/2026;7.551;3.416;398;2;22;19;246
13/06/2026;5.081;2.289;279;;11;15;173
14/06/2026;4.708;2.146;323;2;18;20;192
15/06/2026;4.162;1.881;218;1;11;15;125
16/06/2026;2.955;1.509;213;3;17;3;118
17/06/2026;7.616;3.586;390;1;20;17;262
18/06/2026;5.853;2.651;324;;24;23;180
19/06/2026;5.269;2.515;251;2;18;13;142
20/06/2026;3.669;1.846;263;;20;12;155
21/06/2026;3.606;1.830;235;1;24;9;133
22/06/2026;5.347;2.709;279;;1;;91
23/06/2026;5.013;2.560;348;1;16;11;204
24/06/2026;4.820;2.392;295;1;21;16;163
25/06/2026;4.436;2.255;298;4;20;12;179
26/06/2026;4.575;2.283;283;1;21;10;152
27/06/2026;3.950;2.043;283;1;17;14;172
28/06/2026;2.806;1.450;211;1;14;13;119
29/06/2026;3.588;1.929;230;1;16;11;129
30/06/2026;4.152;2.208;281;1;24;9;164
01/07/2026;4.501;2.382;297;1;26;11;165
02/07/2026;3.736;1.996;278;;23;15;160
03/07/2026;3.738;1.921;250;3;19;13;147
04/07/2026;2.655;1.310;202;;14;10;119
05/07/2026;1.923;980;165;;10;13;93
06/07/2026;4.127;2.242;246;;21;13;152
07/07/2026;4.067;2.103;271;;25;16;154
08/07/2026;3.891;1.979;319;;27;13;185
09/07/2026;4.307;2.435;332;4;28;20;185
10/07/2026;3.834;1.816;276;5;20;10;177
11/07/2026;3.753;1.659;258;2;20;15;137
12/07/2026;2.854;1.214;248;1;32;10;137
13/07/2026;5.315;2.421;355;4;30;13;193
14/07/2026;4.436;1.923;322;2;37;17;190
15/07/2026;6.109;3.188;496;1;52;29;279
16/07/2026;0;0;206;5;19;11;110
Total;779.902;358.539;46.684;211;2.923;2.097;26.928
