numero,secao,codigo,arquetipo,view_origem,titulo,num_elementos,num_graficos,caracteres_corpo,caracteres_leitura,badge_confianca,texto_truncou_ou_transbordou,celulas_fonte_maiores_22,status,marcacao,procedencia
11,partner,P2,analytical_table,VP_SERASA_SEGMENTS,Segmentos - Serasa,7,1,0,170,Media,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
12,partner,P3,heatmap,VP_SERASA_CHANNELS,Canais - Serasa,7,1,0,184,Indisponivel,nao_verificavel_rotulos_grafico,0,ativo_degradado,nao_verificavel,"bloqueado_snapshot renderizado com limites"
13,partner,P4,funnel,VP_SERASA_FUNNEL,Funil - Serasa,7,1,0,195,Alta,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
14,partner,P5,analytical_table,VP_SERASA_CAMPAIGNS,"Campanhas, jornadas e disparos — Serasa",7,1,0,186,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
15,partner,P7,action_queue,VP_SERASA_ACTION,Ação prioritária do parceiro — Serasa,7,0,74,116,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"aba tem somente cabecalho"
16,partner,P1,scorecard,VP_PROPRIETARIA_RESULT,Resultado & contribuição — Proprietária,7,0,376,134,Alta,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
17,partner,P2,analytical_table,VP_PROPRIETARIA_SEGMENTS,Segmentos — Proprietária,7,1,0,175,Alta,inferido_risco_rotulo_quebrado,1,ativo,inferido,"fonte contem rotulo >22; prompt registra quebra de Aprovados_nao_convertidos"
18,partner,P3,heatmap,VP_PROPRIETARIA_CHANNELS,Canais — Proprietária,7,1,0,191,Indisponivel,inferido_risco_rotulos_longos,1,ativo_degradado,inferido,"uma celula da fonte excede 22 caracteres"
19,partner,P4,funnel,VP_PROPRIETARIA_FUNNEL,Funil — Proprietária,7,1,0,194,Alta,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
20,partner,P5,analytical_table,VP_PROPRIETARIA_CAMPAIGNS,"Campanhas, jornadas e disparos — Proprietária",7,1,0,192,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
21,partner,P7,action_queue,VP_PROPRIETARIA_ACTION,Ação prioritária do parceiro — Proprietária,7,0,74,116,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"aba tem somente cabecalho"
22,partner,P1,scorecard,VP_PLURIX_RESULT,Resultado & contribuição — Plurix,7,0,354,130,Alta,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
23,partner,P2,analytical_table,VP_PLURIX_SEGMENTS,Segmentos — Plurix,7,1,0,169,Alta,inferido_risco_rotulo_quebrado,1,ativo,inferido,"fonte contem rotulo >22; prompt registra quebra de Aprovados_nao_convertidos"
24,partner,P3,heatmap,VP_PLURIX_CHANNELS,Canais — Plurix,7,1,0,184,Indisponivel,inferido_risco_rotulos_longos,1,ativo_degradado,inferido,"uma celula da fonte excede 22 caracteres"
25,partner,P4,funnel,VP_PLURIX_FUNNEL,Funil — Plurix,7,1,0,192,Alta,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
26,partner,P5,analytical_table,VP_PLURIX_CAMPAIGNS,"Campanhas, jornadas e disparos — Plurix",7,1,0,186,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
27,partner,P7,action_queue,VP_PLURIX_ACTION,Ação prioritária do parceiro — Plurix,7,0,74,116,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"aba tem somente cabecalho"
28,partner,P1,scorecard,VP_BEM_BARATO_RESULT,Resultado & contribuição — Bem Barato,7,0,372,134,Alta,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
29,partner,P2,analytical_table,VP_BEM_BARATO_SEGMENTS,Segmentos — Bem Barato,7,1,0,173,Alta,inferido_risco_rotulo_quebrado,1,ativo,inferido,"fonte contem rotulo >22; prompt registra quebra de Aprovados_nao_convertidos"
30,partner,P3,heatmap,VP_BEM_BARATO_CHANNELS,Canais — Bem Barato,7,1,0,188,Indisponivel,inferido_risco_rotulos_longos,2,ativo_degradado,inferido,"duas celulas da fonte excedem 22 caracteres"
31,partner,P4,funnel,VP_BEM_BARATO_FUNNEL,Funil — Bem Barato,7,1,0,190,Alta,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
32,partner,P5,analytical_table,VP_BEM_BARATO_CAMPAIGNS,"Campanhas, jornadas e disparos — Bem Barato",7,1,0,190,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
33,partner,P7,action_queue,VP_BEM_BARATO_ACTION,Ação prioritária do parceiro — Bem Barato,7,0,74,116,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"aba tem somente cabecalho"
34,partner,P1,scorecard,VP_DIA_RESULT,Resultado & contribuição — Dia,7,0,329,126,Alta,sim_corte_deterministico_22,1,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
35,partner,P4,funnel,VP_DIA_FUNNEL,Funil - Dia,7,1,0,193,Alta,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
36,partner,P7,action_queue,VP_DIA_ACTION,Ação prioritária do parceiro — Dia,7,0,74,116,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"aba tem somente cabecalho"
37,media,M1,time_series_pacing,VIEW_MEDIA_PACING,Pacing por objetivo,7,1,0,169,Baixa,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"grafico e agregado mensal; nao e serie diaria"
38,media,M2,router_ranking,VIEW_MEDIA_MIX,Mix & dependência de plataformas,7,1,0,182,Indisponivel,nao_verificavel_rotulos_grafico,0,ativo_degradado,nao_verificavel,"bloqueado_snapshot renderizado com limites"
39,media,M3,router_ranking,VIEW_MEDIA_CAMPAIGNS,Ranking canônico de campanhas,7,1,0,183,Baixa,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
40,media,M4,funnel,VIEW_MEDIA_FUNNEL,Funil de eventos por campanha,7,1,0,184,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
41,media,M5,analytical_table,VIEW_MEDIA_CREATIVES,Criativos: fadiga & frequência,7,1,0,187,Indisponivel,inferido_risco_rotulos_longos,12,ativo_degradado,inferido,"12 celulas da pre-visualizacao excedem 22 caracteres"
42,media,M6,quality_gate,VIEW_MEDIA_QUALITY,Tracking & qualidade,7,0,296,176,Baixa,nao_verificavel_overflow,0,ativo_degradado,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
43,media,M7,action_queue,VIEW_ACTION_QUEUE,Ação de mídia,7,0,121,206,Indisponivel,sim_corte_deterministico_22,2,ativo_degradado,observado,"mesma preview de C8; fonte unica nao filtra dominio no corpo"
44,b2c,B1,funnel,VIEW_B2C_PARALLEL_FUNNELS,Funis em paralelo,7,1,0,156,Baixa,inferido_risco_rotulos_longos,1,ativo_degradado,inferido,"uma celula da fonte excede 22 caracteres"
45,b2c,B2,time_series_pacing,VIEW_B2C_DAILY,Tendência diária & origem,7,0,183,136,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"fonte congelada nao cobre agosto; preview degradada"
46,b2c,B3,quality_gate,VIEW_COVERAGE_COMPARABILITY,Cobertura & limites de reconciliação,7,0,172,185,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
47,conditional,K-VISA,analytical_table,VIEW_VISA_OPTIN,Copa / LP / opt-in,7,0,579,169,Baixa,sim_corte_deterministico_22,12,legado_encerrado,observado,"campanha encerrada; retirar em mudanca futura; grafico fisico orfao"
48,conditional,K-SEG,analytical_table,VIEW_INSURANCE_SUMMARY,Seguros,7,0,288,180,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
49,conditional,K-TPL,analytical_table,VIEW_TEMPLATE_COVERAGE,Templates e slots,7,1,0,151,Indisponivel,inferido_risco_rotulos_longos,1,ativo_degradado,inferido,"uma celula da fonte excede 22 caracteres"
50,conditional,K-QLT,quality_gate,VIEW_QUALITY_INCIDENTS,Incidentes de qualidade,7,0,474,180,Baixa,sim_corte_deterministico_22,12,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
51,annex,A1,heatmap,VIEW_GROWTH_MATRIX,Matriz frente × parceiro × segmento,7,1,0,171,Baixa,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
52,annex,A2,technical_annex,VIEW_METRIC_DICTIONARY,Dicionário de métricas,7,0,326,174,Baixa,sim_corte_deterministico_22,4,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
53,annex,A3,technical_annex,VIEW_AGGREGATION_RULES,Regras de agregação,7,0,138,174,Baixa,sim_corte_deterministico_22,4,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
54,annex,A4,technical_annex,VIEW_FIELD_COVERAGE,Matriz de cobertura de campos,7,0,343,231,Baixa,sim_corte_deterministico_22,1,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
55,annex,A5,technical_annex,VIEW_COLLECTION_LOGS,Logs de coleta,7,0,370,174,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
56,annex,A6,technical_annex,VIEW_CAMPAIGN_ALIASES,Mapeamentos e aliases,7,0,561,180,Baixa,sim_corte_deterministico_22,8,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
57,annex,A7,technical_annex,VIEW_CONFIDENCE_RULES,Critérios de confiança,7,0,225,173,Baixa,sim_corte_deterministico_22,4,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
