nome,tipo,grao,num_colunas,tem_tempo,extensao_temporal,linhas_recorte,slides_consumidores,status,marcacao,procedencia,observacao
VP_BEM_BARATO_SEGMENTS,engine_sheet_published,segmento,6,nao,agosto 2026,4,P2 Bem Barato,ativo,observado,"report-live-engine.ts:1533-1542; report_publications 54649269",Sem coluna temporal
VP_DIA_ACTION,engine_sheet_published,acao prioritaria do parceiro,6,sim,run,0,P7 Dia,ativo_vazio,observado,"report-live-engine.ts:1602-1610; report_publications 54649269",Somente cabecalho
VP_DIA_CAMPAIGNS,engine_sheet_published,safra x jornada x activity x segmento x canal x template,18,nao,agosto 2026,12,P5 Dia omitido pelo modo compacto,auxiliar,observado,"report-live-engine.ts:1566-1592; report_publications 54649269",Sem coluna temporal
VP_DIA_CHANNELS,engine_sheet_published,canal,8,nao,agosto 2026,1,P3 Dia omitido pelo modo compacto,auxiliar,observado,"report-live-engine.ts:1533-1558; report_publications 54649269",Publicado com 8 colunas; o codigo 2a amplia para 10; sem segmento no grao
VP_DIA_FUNNEL,engine_sheet_published,etapa do funil,4,nao,agosto 2026,4,P4 Dia,ativo,observado,"report-live-engine.ts:1559-1565; report_publications 54649269",Sem coluna temporal
VP_DIA_PRESSURE,engine_sheet_published,segmento,6,nao,agosto 2026,1,P6 Dia nao instanciado,auxiliar,observado,"report-live-engine.ts:1593-1601; report_publications 54649269",Proxy agregado
VP_DIA_RESULT,engine_sheet_published,metrica do parceiro,6,nao,agosto x julho equivalente,4,P1 Dia,ativo,observado,"report-live-engine.ts:1519-1532; report_publications 54649269",Tem comparativo mas nao coluna de tempo
VP_DIA_SEGMENTS,engine_sheet_published,segmento,6,nao,agosto 2026,1,P2 Dia omitido pelo modo compacto,auxiliar,observado,"report-live-engine.ts:1533-1542; report_publications 54649269",Sem coluna temporal
VP_PLURIX_ACTION,engine_sheet_published,acao prioritaria do parceiro,6,sim,run,0,P7 Plurix,ativo_vazio,observado,"report-live-engine.ts:1602-1610; report_publications 54649269",Somente cabecalho
VP_PLURIX_CAMPAIGNS,engine_sheet_published,safra x jornada x activity x segmento x canal x template,18,nao,agosto 2026,32,P5 Plurix,ativo,observado,"report-live-engine.ts:1566-1592; report_publications 54649269",Sem coluna temporal
VP_PLURIX_CHANNELS,engine_sheet_published,canal,8,nao,agosto 2026,5,P3 Plurix,ativo,observado,"report-live-engine.ts:1533-1558; report_publications 54649269",Publicado com 8 colunas; o codigo 2a amplia para 10; sem segmento no grao
VP_PLURIX_FUNNEL,engine_sheet_published,etapa do funil,4,nao,agosto 2026,4,P4 Plurix,ativo,observado,"report-live-engine.ts:1559-1565; report_publications 54649269",Sem coluna temporal
VP_PLURIX_PRESSURE,engine_sheet_published,segmento,6,nao,agosto 2026,4,P6 Plurix omitido,proxy_omitido,observado,"report-live-engine.ts:1593-1601; report_publications 54649269",Nao deduplica pessoas
VP_PLURIX_RESULT,engine_sheet_published,metrica do parceiro,6,nao,agosto x julho equivalente,4,P1 Plurix,ativo,observado,"report-live-engine.ts:1519-1532; report_publications 54649269",Tem comparativo mas nao coluna de tempo
VP_PLURIX_SEGMENTS,engine_sheet_published,segmento,6,nao,agosto 2026,4,P2 Plurix,ativo,observado,"report-live-engine.ts:1533-1542; report_publications 54649269",Sem coluna temporal
VP_PROPRIETARIA_ACTION,engine_sheet_published,acao prioritaria do parceiro,6,sim,run,0,P7 Proprietaria,ativo_vazio,observado,"report-live-engine.ts:1602-1610; report_publications 54649269",Somente cabecalho
VP_PROPRIETARIA_CAMPAIGNS,engine_sheet_published,safra x jornada x activity x segmento x canal x template,18,nao,agosto 2026,57,P5 Proprietaria,ativo,observado,"report-live-engine.ts:1566-1592; report_publications 54649269",Sem coluna temporal
VP_PROPRIETARIA_CHANNELS,engine_sheet_published,canal,8,nao,agosto 2026,10,P3 Proprietaria,ativo,observado,"report-live-engine.ts:1533-1558; report_publications 54649269",Publicado com 8 colunas; o codigo 2a amplia para 10; sem segmento no grao
VP_PROPRIETARIA_FUNNEL,engine_sheet_published,etapa do funil,4,nao,agosto 2026,4,P4 Proprietaria,ativo,observado,"report-live-engine.ts:1559-1565; report_publications 54649269",Sem coluna temporal
VP_PROPRIETARIA_PRESSURE,engine_sheet_published,segmento,6,nao,agosto 2026,4,P6 Proprietaria omitido,proxy_omitido,observado,"report-live-engine.ts:1593-1601; report_publications 54649269",Nao deduplica pessoas
VP_PROPRIETARIA_RESULT,engine_sheet_published,metrica do parceiro,6,nao,agosto x julho equivalente,4,P1 Proprietaria,ativo,observado,"report-live-engine.ts:1519-1532; report_publications 54649269",Tem comparativo mas nao coluna de tempo
VP_PROPRIETARIA_SEGMENTS,engine_sheet_published,segmento,6,nao,agosto 2026,4,P2 Proprietaria,ativo,observado,"report-live-engine.ts:1533-1542; report_publications 54649269",Sem coluna temporal
VP_SERASA_ACTION,engine_sheet_published,acao prioritaria do parceiro,6,sim,run,0,P7 Serasa,ativo_vazio,observado,"report-live-engine.ts:1602-1610; report_publications 54649269",Somente cabecalho
VP_SERASA_CAMPAIGNS,engine_sheet_published,safra x jornada x activity x segmento x canal x template,18,nao,agosto 2026,15,P5 Serasa,ativo,observado,"report-live-engine.ts:1566-1592; report_publications 54649269",Sem coluna temporal
VP_SERASA_CHANNELS,engine_sheet_published,canal,8,nao,agosto 2026,3,P3 Serasa,ativo,observado,"report-live-engine.ts:1533-1558; report_publications 54649269",Publicado com 8 colunas; o codigo 2a amplia para 10; sem segmento no grao
VP_SERASA_FUNNEL,engine_sheet_published,etapa do funil,4,nao,agosto 2026,4,P4 Serasa,ativo,observado,"report-live-engine.ts:1559-1565; report_publications 54649269",Sem coluna temporal
VP_SERASA_PRESSURE,engine_sheet_published,segmento,6,nao,agosto 2026,1,P6 Serasa omitido,proxy_omitido,observado,"report-live-engine.ts:1593-1601; report_publications 54649269",Nao deduplica pessoas
VP_SERASA_RESULT,engine_sheet_published,metrica do parceiro,6,nao,agosto x julho equivalente,4,P1 Serasa,ativo,observado,"report-live-engine.ts:1519-1532; report_publications 54649269",Tem comparativo mas nao coluna de tempo
VP_SERASA_SEGMENTS,engine_sheet_published,segmento,6,nao,agosto 2026,1,P2 Serasa,ativo,observado,"report-live-engine.ts:1533-1542; report_publications 54649269",Sem coluna temporal
VIEW_EDITORIAL_CHART_REGISTRY,engine_sheet_candidate_2a,plano de grafico por slide,11,nao,NA,11,renderer 2a,candidate_only,observado,"report-live-engine.ts:725-728; candidate 5137402b",Nao pertence a publicacao viva
VIEW_EDITORIAL_LAYOUTS,engine_sheet_candidate_2a,layout editorial por slide,9,sim,mes alvo,11,renderer 2a,candidate_only,observado,"report-live-engine.ts:721-724; candidate 5137402b",Nao pertence a publicacao viva
VIEW_EDITORIAL_MONTHLY_CHARTS,engine_sheet_candidate_2a,mes x familia de serie,10,sim,2025-01 a 2026-08,239,"P1; P4 via grafico",candidate_only,observado,"report-live-engine.ts:729-731; candidate 5137402b",Familias retangulares para Sheets chart
VIEW_EDITORIAL_PACING_CHARTS,engine_sheet_candidate_2a,dia corrido,3,sim,2026-08-01 a 2026-08-31,31,C4 via grafico,candidate_only,observado,"report-live-engine.ts:732-734; candidate 5137402b",Familia de pacing atual x equivalente
VIEW_EDITORIAL_RULERS,engine_sheet_candidate_2a,metrica editorial por slide,19,sim,mes alvo e faixa 6m,24,"P1; P4",candidate_only,observado,"report-live-engine.ts:717-720; candidate 5137402b",Valores e vereditos derivados do mensal canonico
